Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

trader_closestFTLR,POI,POIName,,x,the nearest Trader,,,,,,,,,,,,,

// quests

q_goToPOI_teleport_to_traders,Quest,Quest Info,,,Teleporting to Traders,,,,,,,,,,,,,

// rekt quest info

q_goToPOI_trader_rekt,Quest,Quest Info,,,Teleport to [DECEA3]Trader Rekt[-],,,,,,,,,,,,,

q_goToPOI_trader_rekt_offer,Quest,Quest Info,,,Click Accept to teleport to [DECEA3]Trader Rekt[-].,,,,,,,,,,,,,

q_goToPOI_trader_rekt_subtitle,Quest,Quest Info,,,Teleport to [DECEA3]Trader Rekt[-],,,,,,,,,,,,,

q_goToPOI_trader_rekt_description,Quest,Quest Info,,,Teleport to [DECEA3]Trader Rekt[-],,,,,,,,,,,,,


// jen quest info

q_goToPOI_trader_jen,Quest,Quest Info,,,Teleport to [DECEA3]Trader Jen[-],,,,,,,,,,,,,

q_goToPOI_trader_jen_offer,Quest,Quest Info,,,Click Accept to teleport to [DECEA3]Trader Jen[-].,,,,,,,,,,,,,

q_goToPOI_trader_jen_subtitle,Quest,Quest Info,,,Teleport to [DECEA3]Trader Jen[-],,,,,,,,,,,,,

q_goToPOI_trader_jen_description,Quest,Quest Info,,,Teleport to [DECEA3]Trader Jen[-],,,,,,,,,,,,,

// bob quest info

q_goToPOI_trader_bob,Quest,Quest Info,,,Teleport to [DECEA3]Trader Bob[-],,,,,,,,,,,,,

q_goToPOI_trader_bob_offer,Quest,Quest Info,,,Click Accept to teleport to [DECEA3]Trader Bob[-].,,,,,,,,,,,,,

q_goToPOI_trader_bob_subtitle,Quest,Quest Info,,,Teleport to [DECEA3]Trader Bob[-],,,,,,,,,,,,,

q_goToPOI_trader_bob_description,Quest,Quest Info,,,Teleport to [DECEA3]Trader Bob[-],,,,,,,,,,,,,


// hugh quest info

q_goToPOI_trader_hugh,Quest,Quest Info,,,Teleport to [DECEA3]Trader Hugh[-],,,,,,,,,,,,,

q_goToPOI_trader_hugh_offer,Quest,Quest Info,,,Click Accept to teleport to [DECEA3]Trader Hugh[-].,,,,,,,,,,,,,

q_goToPOI_trader_hugh_subtitle,Quest,Quest Info,,,Teleport to [DECEA3]Trader Hugh[-],,,,,,,,,,,,,

q_goToPOI_trader_hugh_description,Quest,Quest Info,,,Teleport to [DECEA3]Trader Hugh[-],,,,,,,,,,,,,


// joel quest info 

q_goToPOI_trader_joel,Quest,Quest Info,,,Teleport to [DECEA3]Trader Joel[-],,,,,,,,,,,,,

q_goToPOI_trader_joel_offer,Quest,Quest Info,,,Click Accept to teleport to [DECEA3]Trader Joel[-].,,,,,,,,,,,,,

q_goToPOI_trader_joel_subtitle,Quest,Quest Info,,,Teleport to [DECEA3]Trader Joel[-],,,,,,,,,,,,,

q_goToPOI_trader_joel_description,Quest,Quest Info,,,Teleport to [DECEA3]Trader Joel[-],,,,,,,,,,,,,

// Temple Multi-Trader quest info 

q_goToPOI_trader_temple,Quest,Quest Info,,,Teleport to the [DECEA3]Temple Multi-Trader[-],,,,,,,,,,,,,

q_goToPOI_trader_temple_offer,Quest,Quest Info,,,Click Accept to teleport to the [DECEA3]Temple Multi-Trader[-].,,,,,,,,,,,,,

q_goToPOI_trader_temple_subtitle,Quest,Quest Info,,,Teleport to the [DECEA3]Temple Multi-Trader[-],,,,,,,,,,,,,

q_goToPOI_trader_temple_description,Quest,Quest Info,,,Teleport to the [DECEA3]Temple Multi-Trader[-],,,,,,,,,,,,,

// Wight Multi-Trader quest info 

q_goToPOI_trader_Wight_Multi_Trader,Quest,Quest Info,,,Teleport to the [DECEA3]Wight Multi-Trader[-],,,,,,,,,,,,,

q_goToPOI_trader_wight_offer,Quest,Quest Info,,,Click Accept to teleport to the [DECEA3]Wight Multi-Trader[-].,,,,,,,,,,,,,

q_goToPOI_trader_wight_subtitle,Quest,Quest Info,,,Teleport to the [DECEA3]Wight Multi-Trader[-],,,,,,,,,,,,,

q_goToPOI_trader_wight_description,Quest,Quest Info,,,Teleport to the [DECEA3]Wight Multi-Trader[-],,,,,,,,,,,,,





// quest items

qt_teleport_to_trader_navezgane_24_bundle

qt_desc,items,Quest - Treasure Map,,,A ragged old treasure map I found with some scribbling on it.,,,,,,,,,,,,,

// Navezgane teleport bundle

qt_teleport_to_trader_navezgane_24_bundle,items,Quest - Treasure Map,,,Teleports for Navezgane Traders,,,,,,,,,,,,,

qt_teleport_to_trader_navezgane_24_bundle_desc,items,Quest - Treasure Map,,,Open this bundle to obtain maps that will teleport you to the front door of the traders in the Navezgane world. Do not use in other worlds.,,,,,,,,,,,,,

// helipad teleport bundle

qt_teleport_to_trader_helipad_bundle,items,Quest - Treasure Map,,,Helipad Teleports for Traders,,,,,,,,,,,,,

qt_teleport_to_trader_helipad_bundle_desc,items,Quest - Treasure Map,,,Open this bundle to obtain maps that will teleport you to the helipad of the chosen trader.,,,,,,,,,,,,,

// mplogue teleport bundle

qt_teleport_to_trader_mplogue_bundle,items,Quest - Treasure Map,,, Teleports for Custom Traders by MPLogue,,,,,,,,,,,,,

qt_teleport_to_trader_mplogue_bundle_desc,items,Quest - Treasure Map,,,Open this bundle to obtain maps that will teleport you to a relatively safe location in the chosen trader's compound.,,,,,,,,,,,,,


// teleport maps

qt_teleport_to_trader_rekt_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Rekt (front door),,,,,,,,,,,,,

qt_teleport_to_trader_rekt_helipad,items,Quest - Treasure Map,,,Teleport to Trader Rekt (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_rekt_helipad,items,Quest - Treasure Map,,,Teleport to Trader Rekt (helipad),,,,,,,,,,,,,


qt_teleport_to_trader_rekt_mplogue,items,Quest - Treasure Map,,,Teleport to Trader Rekt (MPLogue),,,,,,,,,,,,,

qt_teleport_to_trader_rekt_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Rekt.,,,,,,,,,,,,,

qt_teleport_to_trader_jen_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Jen (front door),,,,,,,,,,,,,

qt_teleport_to_trader_jen_helipad,items,Quest - Treasure Map,,,Teleport to Trader Jen (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_jen_mplogue,items,Quest - Treasure Map,,,Teleport to Trader Jen (MPLogue),,,,,,,,,,,,,

qt_teleport_to_trader_jen_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Jen.,,,,,,,,,,,,,

qt_teleport_to_trader_bob_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Bob (front door),,,,,,,,,,,,,

qt_teleport_to_trader_bob_helipad,items,Quest - Treasure Map,,,Teleport to Trader Bob (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_bob_mplogue,items,Quest - Treasure Map,,,Teleport to Trader Bob (MPLogue),,,,,,,,,,,,,

qt_teleport_to_trader_bob_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Bob.,,,,,,,,,,,,,

qt_teleport_to_trader_hugh_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Hugh (front door),,,,,,,,,,,,,

qt_teleport_to_trader_hugh_helipad,items,Quest - Treasure Map,,,Teleport to Trader Hugh (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_hugh_mplogue,items,Quest - Treasure Map,,,Teleport to Trader Hugh (MPLogue),,,,,,,,,,,,,

qt_teleport_to_trader_hugh_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Hugh.,,,,,,,,,,,,,

qt_teleport_to_trader_joel_navezgane_24,items,Quest - Treasure Map,,,Teleport to Trader Joel (front door),,,,,,,,,,,,,

qt_teleport_to_trader_joel_helipad,items,Quest - Treasure Map,,,Teleport to Trader Joel (helipad),,,,,,,,,,,,,

qt_teleport_to_trader_joel_mplogue,items,Quest - Treasure Map,,,Teleport to Trader Joel (MPLogue),,,,,,,,,,,,,

qt_teleport_to_trader_joel_desc,items,Quest - Treasure Map,,,Read this to teleport to Trader Joel.,,,,,,,,,,,,,


qt_teleport_to_trader_Temple_mplogue,items,Quest - Treasure Map,,,Teleport to Temple Multi-Trader (MPLogue),,,,,,,,,,,,,

